"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5109","With SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT Permissions The User Can See Administration Tab","chromium_test_workflow","Tue Feb 11 00:55:29 GMT 2025","passed","Tue Feb 11 00:55:34 GMT 2025","","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","12191","Change Initial Password As Admin","setup_initial","Tue Feb 11 00:51:00 GMT 2025","passed","Tue Feb 11 00:51:12 GMT 2025","","../../setup/initial-setup.ts","",""
"","5732","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Tue Feb 11 00:56:47 GMT 2025","passed","Tue Feb 11 00:56:53 GMT 2025","","e2e/playwright-tests/features/@projects/try_creating_existing_project.feature.spec.js","",""
"","5460","Without VIEW_POLICY_VIOLATION Permission The User Cannot See The Policy Violations On Project Page","chromium_test_workflow","Tue Feb 11 00:55:41 GMT 2025","passed","Tue Feb 11 00:55:47 GMT 2025","","e2e/playwright-tests/features/@permissions/view_policy_violation.feature.spec.js","",""
"","14180","The Admin User Validates A Test Project With A Recently Uploaded BOM","chromium_test_workflow","Tue Feb 11 00:56:53 GMT 2025","passed","Tue Feb 11 00:57:07 GMT 2025","","e2e/playwright-tests/features/@projects/validate_bom_upload.feature.spec.js","",""
"","3069","Without POLICY_MANAGEMENT Permission The User Cannot See The Policy Management Tab","chromium_test_workflow","Tue Feb 11 00:55:17 GMT 2025","passed","Tue Feb 11 00:55:20 GMT 2025","","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","3001","Without SYSTEM_CONFIGURATION Permissions User Cannot See Administration Tab","chromium_test_workflow","Tue Feb 11 00:55:34 GMT 2025","passed","Tue Feb 11 00:55:37 GMT 2025","","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","12748","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Tue Feb 11 00:56:34 GMT 2025","passed","Tue Feb 11 00:56:47 GMT 2025","","e2e/playwright-tests/features/@projects/suppress_violation_against_policy.feature.spec.js","",""
"","8403","The Admin User Creates A Parent And A Child Project","chromium_test_workflow","Tue Feb 11 00:56:09 GMT 2025","passed","Tue Feb 11 00:56:17 GMT 2025","","e2e/playwright-tests/features/@projects/create_parent_project.feature.spec.js","",""
"","8280","With VIEW_PORTFOLIO Permissions The User Verifies Access","chromium_test_workflow","Tue Feb 11 00:56:01 GMT 2025","passed","Tue Feb 11 00:56:09 GMT 2025","","e2e/playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
